,width,height
1094,300,432
1095,300,428
1096,300,453
1097,300,425
1098,300,424
1099,300,450
1100,300,541
1101,258,475
1102,300,436
1103,300,440
1104,300,429
1105,300,438
1106,300,203
1107,300,450
1108,260,475
1109,216,315
1110,300,347
1111,216,335
1112,300,401
1113,300,456
1114,300,450
1115,300,400
1116,300,443
1117,300,300
1118,300,453
1119,300,418
1120,216,314
1121,216,336
1122,300,424
1123,300,424
1124,300,428
1125,290,500
1126,300,422
1127,216,321
1128,216,325
1129,300,422
1130,216,319
1131,300,438
1132,300,429
1133,216,320
1134,300,450
1135,300,424
1136,300,431
1137,300,432
1138,300,431
1139,257,475
1140,300,432
1141,300,423
1142,300,431
1143,300,438
1144,300,452
1145,262,475
1146,300,446
1147,300,409
1148,300,450
1149,259,475
1150,300,431
1151,300,419
1152,300,440
1153,300,450
1154,300,427
1155,300,419
1156,263,475
1157,300,427
1158,300,438
1159,300,444
1160,300,433
1161,300,431
1162,300,436
1163,300,427
1164,216,313
1165,216,314
1166,216,329
1167,300,424
1168,300,425
1169,300,408
1170,300,450
1171,300,425
1172,300,427
1173,300,455
1174,300,444
1175,300,434
1176,300,455
1177,300,408
1178,300,443
1179,300,429
1180,300,434
1181,261,475
1182,300,425
1183,300,446
1184,300,421
1185,300,438
1186,300,450
1187,216,320
1188,300,411
1189,300,437
1190,300,423
1191,300,453
1192,300,419
1193,300,400
1194,300,411
1195,300,423
1196,300,422
1197,291,475
1198,300,370
1199,300,444
1200,300,427
1201,300,450
1202,300,427
1203,300,428
1204,300,424
1205,216,329
1206,216,313
1207,300,447
1208,300,404
1209,300,450
1210,300,427
1211,300,437
1212,300,429
1213,300,432
1214,300,438
1215,300,368
1216,300,454
1217,300,408
1218,216,327
1219,300,450
1220,216,328
1221,300,425
1222,300,440
1223,216,311
1224,300,422
1225,300,450
1226,300,409
1227,300,424
1228,300,408
1229,300,450
1230,89,138
1231,260,475
1232,300,445
1233,216,327
1234,300,401
1235,300,470
1236,300,438
1237,300,425
1238,300,450
1239,300,433
1240,259,475
1241,300,390
1242,300,455
1243,300,425
1244,300,424
1245,300,423
1246,300,425
1247,300,423
1248,150,203
1249,300,417
1250,300,450
1251,300,425
1252,259,475
1253,300,450
1254,300,445
1255,300,466
1256,300,420
1257,216,331
1258,300,434
1259,257,475
1260,300,429
1261,300,450
1262,300,454
1263,300,425
1264,261,475
1265,300,434
1266,300,439
1267,216,283
1268,300,450
1269,271,475
1270,216,318
1271,295,475
1272,300,444
1273,300,423
1274,300,429
1275,300,424
1276,260,475
1277,300,425
1278,258,475
1279,300,438
1280,300,450
1281,300,424
1282,300,437
1283,250,450
1284,300,196
1285,300,433
1286,300,431
1287,300,450
1288,300,422
1289,300,450
1290,300,410
1291,300,444
1292,300,422
1293,300,431
1294,300,450
1295,216,334
1296,300,429
1297,300,425
1298,300,424
1299,300,450
1300,300,436
1301,300,422
1302,300,429
1303,300,429
1304,300,450
1305,300,424
1306,300,450
1307,300,436
1308,216,317
1309,300,450
1310,300,450
1311,300,450
1312,265,475
1313,300,418
1314,300,402
1315,300,207
1316,300,429
1317,300,431
1318,300,431
1319,300,426
1320,300,447
1321,300,447
1322,300,450
1323,258,475
1324,300,427
1325,300,444
1326,300,445
1327,264,475
1328,300,402
1329,300,409
1330,300,450
1331,300,428
1332,300,446
1333,300,438
1334,300,451
1335,300,425
1336,300,429
1337,300,450
1338,295,475
1339,300,423
1340,300,411
1341,300,408
1342,300,421
1343,267,475
1344,300,425
1345,300,427
